SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
AB,Electrical,1606-XLE120E SER A,,1606-XLE120E SER A,,4/9/2021,,1,$170 ,$170 ,R4-1-1
AB,Electrical,1494U-D200,,Disconnect switch,,3/10/2021,,1,"$1,000 ","$1,000 ",R4-1-2
AB,Electrical,1494U-F200,,Fuse Block 200A,,3/10/2021,,1,$150 ,$150 ,R4-1-2
AB,Electrical,1606-XLSBATASSY1,,Battery Module,,3/17/2021,,1,141,$141 ,R4-2-1
Emerson,Electrical,SDN 20-24-4880CD,,Power Supply,,3/17/2021,,1,$725 ,$725 ,R4-2-1
AB,Electrical,1492-PSG2-4,,term blocks,,4/7/2021,,79,$7 ,$553 ,R4-2-1
SMC,Electrical,SY30M-2-1SA-N7,,SY30M-2-1SA-N7,,4/9/2021,,48,, $-   ,R4-2-1
SMC,Electrical,SY50M-2-1DA-N7,,,,9/29/2022,,1,, $-   ,
SMC,Electrical,SY3100-5U1,,SY3100-5U1,,4/9/2021,,16,, $-   ,R4-2-1
AB,Electrical,1756-A10,,10 slots chassis,,8/5/2021,,2,$650 ,"$1,300 ",R4-2-2
IFM,Electrical,SM2100,,FLOW METER,,5/4/2021,,1,$721 ,$721 ,R4-2-2
DFT,Mechanical,835H7B4A5/8374,,CHECK VALVE,,9/29/2022,,1,, $-   ,R4-2-2
AB,Electrical,1494U-D100,,100A DISCONECT SWITCH,,7/19/2022,,1,"$1,850 ","$1,850 ",R4-2-2
AB,Electrical,1492-FB1J60,,1 Pole Fuse Holder,,5/12/2021,,6,$20 ,$120 ,R4-3-3
AB,Electrical,1489-M1C040,,CIRCUIT BREAKER SER.D,,9/15/2022,,17,$66 ,"$1,122 ",R4-4-1
IFM,Electrical,EVC629,,5-WIRE MICRO DC CORDSET ,,5/26/2021,,1,$56 ,$56 ,R4-4-3
IFM,Electrical,EVC629,,CABLE,,9/29/2022,,1,$56 ,$56 ,R4-4-3
IFM,Electrical,EVC838,,CABLE,,5/26/2021,,1,$15 ,$15 ,R4-4-3
SMC,Electrical,VQ1101-5C1,,VALVES,,9/29/2022,,16,, $-   ,R4-5-1
SMC,Electrical,SY50M-NO-A1,,VALVE,,9/29/2022,,2,, $-   ,R4-5-1
SMC,Electrical,KQ2P-09,,PLUGS,,9/29/2022,,10,, $-   ,R4-5-1
SMC,Electrical,KQ2P-07,,PLUGS,,9/29/2022,,10,, $-   ,R4-5-1
SMC,Electrical,ANQC100-TR-04,,,,9/29/2022,,1,, $-   ,R4-5-1
SMC,Electrical,SY3100-5U1,,"VALVES, 5 PORT SOLENOID",,6/15/2021,,37,, $-   ,R4-5-1
SMC,Electrical,?,,RADS,,9/29/2022,,10,, $-   ,R4-5-2
AB,Electrical,1756 HSC (Bad Part #),,CONTROLLOGIX,,9/8/2022,,4, bad Part? , $-   ,R4-5-2 (D.R PO)
Columbia Pipe,Mechanical,835H7B4A5/8374,," 2"" 750 CWP DFT SCV CHECK VALVE",,6/14/2022,,1,, $-   ,R4-5-3
EESCO,Electrical,78347201466,Yes,SOLA/H-D SDN 20-24-480CD POWER SUPPLY,,6/20/2022,,1,$836 ,$836 ,R4-5-3
IFM,Electrical,E43344,,"Adapter G 1/2-SMS DN50/2""",,9/1/2022,,1,$112 ,$112 ,R5-5-2
NIBCO,Mechanical,U45BC V,,Check valve 1/2 FKM(viton),,7/28/2021,,1,, $-   ,R5-6-2
,Mechanical,,,Misc,,6/2/2021,,1, Bad Part? , $-   ,R5-6-3
,Mechanical,"307F 1"" CF8M SW",,VALVES,,4/18/2022,,4, Bad Part? , $-   ,R6-1-1
AB,Electrical,1734-TBS,,,46759,12/18/2023,,5,$24 ,$122 ,R3-5-3
HUBBELL,Electrical,PS1009NGY,,,46759,12/18/2023,,8,, $-   ,R4-4-3
AB,Electrical,2711PC-T6C20D8,,"PANELVIEW PLUS COMPACT 600 (6"")",,9/13/2022,,1, OBSOLETE , $-   ,R6-7-3
ALFA LAVAL,Mechanical,B7WWMS-2-316L-PL,,TRI-WELD T,,9/7/2022,,6,$38 ,$230 ,R7-1-1
ALFA LAVAL,Mechanical,B7WWMS-2.5-316L-PL,,TRI-WEL T,,9/7/2022,,1,$43 ,$43 ,R7-1-1
,Electrical,,,MULTI CELL12-36V 2A,,4/19/2022,,1, Bad Part? , $-   ,R7-1-2
AB,Electrical,1769-IF8  SER A,,,46759,12/18/2023,,2,$860 ,"$1,719 ",R5-2-2
AB,Electrical,25B-D013N104,,PowerFlex 525 AC Drive,,6/28/2022,,1,"$2,086 ","$2,086 ",R7-2-1
AB,Electrical,1756-OW16I,,16Pt digital relay module,,8/5/2021,,10,$630 ,"$6,300 ",R7-2-2
BUSSMANN,Electrical,CHCC3DU,,FUSE HOLDER,46759,12/18/2023,,2,$62 ,$125 ,CR-CS-S4
AB,Electrical,440R-H23180,,safety relay,,8/5/2021,,5, bad Part? , $-   ,R7-4-2
IFM,Electrical,E40228,,ADAPTERS SST W O-RINGS,,6/16/2021,,2,$92 ,$184 ,R7-4-3
,Electrical,700S-OF440EJC,,control relay,,8/5/2021,,1, bad Part? , $-   ,R7-5-2
HUBBELL,Electrical,PR4X205EB,,20A GFCI NEMA,,8/5/2021,,1,$360 ,$360 ,R7-5-2
,Electrical,A41,,Fuse holder,,8/5/2021,,4, bad Part? , $-   ,R7-5-2
,Electrical,Z38,,Fuse Holder,,8/5/2021,,2, bad Part? , $-   ,R7-5-2
,Electrical,A45,,Fuse holder,,8/5/2021,,3, bad Part? , $-   ,R7-5-2
AB,Electrical,1585J-M8PBJM-0M3,,ETHERNET CABLE,,6/2/2021,,3,$20 ,$60 ,R7-5-3
AB,Electrical,5069-RTB18-SCREW,,,,8/20/2021,,8,$53 ,$424 ,R7-6-1
SMC,Electrical,EX500-AP050-8,,5000MM CABLE,,8/20/2021,,1,, $-   ,R7-6-1
AB,Electrical,1401,,FUSE CLIPS,,6/2/2021,,3, bad Part? , $-   ,R7-6-2
AB,Electrical,5069-RTB64-SCREW,,,,6/2/2021,,1,$29 ,$29 ,R7-6-2
AB,Electrical,5069-RTB6-SCREW,,,,6/2/2021,,11,$18 ,$198 ,R7-6-2
AB,Electrical,1734-OBB,,POINT I/O 8 POINT DIGITAL OUTPUT MODULE,,6/2/2021,,1,$86 ,$86 ,R7-6-3
AB,Electrical,1489-M3C020,,,46759,12/18/2023,,2,$108 ,$216 ,R7-5-3
SMC,Electrical,EX9-AC010EN-PSRJ,,CABLE,,6/2/2021,,1,, $-   ,R7-6-3
SMC,Electrical,KQ2P-07,,PLUGS,,6/2/2021,,100,, $-   ,R7-6-3
AB,Electrical,1489-M1C080,,,46759,12/18/2023,,2,$42 ,$84 ,R7-5-3
BUSSMANN,Electrical,PDBFS220,,POWER DISTRIBUTION BLOCK,,4/19/2022,,3,$48 ,$145 ,R7-7-1
,Electrical,,8-digit,TIMER WITH BASE(83011064),,4/19/2022,,1, Bad Part? , $-   ,R7-7-1
,Electrical,,,RED/ORANGE TOWER LIGHT,,4/19/2022,,1, Bad Part? , $-   ,R7-7-1
AB,Electrical,1494U-R1,,CONNECTING ROD,,9/14/2022,,1,$29 ,$29 ,R7-7-3
IFM,Electrical,TD2933,95943595,TEMPERATURE TRANSMITTER,,9/14/2022,,2,$144 ,$287 ,R7-7-3
AB,Electrical,1494U-HS1,,STAINLESS DISCONNECT HANDLE (SMALL),,9/14/2022,,1,$213 ,$213 ,R7-7-3
WALCHEM,Electrical,1611091844,,WEBMASTER CONTOLLER,,9/7/2022,,1,, $-   ,R-FLOOR
WALCHEM,Electrical,WEL-PHF-12,,WALCHEM PROBE,,9/7/2022,,16,, $-   ,R-FLOOR
WALCHEM,Electrical,WEL-PHF-NN,,ELECTRODE.PH.FLAT SURFACE,,9/7/2022,,2,, $-   ,R-FLOOR
Zilmet,Mechanical,INOX-PRO ZS 20018,,WATER EXPENSION TANK SS - 4 gallon,,9/13/2022,,1,, $-   ,TBD FLOOR
?,,95730509,,"Install Kit 1004 PV/V/C-3/8""X1",,3/17/2021,,2, Bad Part? , $-   ,TBD-floor
AB,Electrical,1494U-C24,,4ft cable mech,,3/10/2021,,1,$360 ,$360 ,TBD-floor
B&R,Electrical,5S3DC0000000L0-002,,Automation PC 3100 7300UB 128M W10 Z,,3/17/2021,,1,, $-   ,TBD-floor
AB,Electrical,1494U-PC200,,Protective cover,,3/10/2021,,1,$149 ,$149 ,TBD-floor
AB,Electrical,1783-US16T  SER B,,,,10/17/2022,,3,$588 ,"$1,764 ",R7-1-2
GRUNDFOS,Mechanical,97722763,,DDA 30-4 FCM-PV/T/C-F-321004BG,,9/14/2022,,2,, $-   ,TBD-FLOOR
AB,Electrical,1606-XLS480F-3 ,,,,10/17/2022,,6,$611 ,"$3,665 ",R6-6-1
AB,Electrical,1489-SM1C100,,,46759,12/18/2023,,6, bad Part? , $-   ,R7-5-3
AB,Electrical,1606-XLS480F-3 SER A,,,,10/17/2022,,3,$611 ,"$1,833 ",R6-6-2
AB,Electrical,5069-OB16  SER A ,,,,10/17/2022,,7,$339 ,"$2,372 ",R5-5-1
AB,Electrical,1606-XLE240E  SER B,,,,10/17/2022,,1,$228 ,$228 ,R6-5-3
AB,Electrical,1769-IF8  SER A,,,,10/17/2022,,3,$846 ,"$2,538 ",R6-5-3
AB,Electrical,1769-ECR  SER A,,,,10/17/2022,,1,$37 ,$37 ,R6-5-3
AB,Electrical,1734-TB3  SER A,,,,10/17/2022,,20,32.2,$644 ,R7-2-1
AB,Electrical,5069-OW16  SER B,,,,10/17/2022,,3,$691 ,"$2,073 ",R6-5-3
AB,Electrical,5069-OW16  SER B,,,,10/17/2022,,6,$691 ,"$4,146 ",R6-7-1
AB ,Electrical,EB-PSE-24V-1A,,,,10/17/2022,,2,$1 ,$2 ,R6-4-3
AB,Electrical,5069-FPD   SER A,,,,10/17/2022,,3,$155 ,$465 ,R6-4-2
AB,Electrical,1769-ECR   SER A,,,,10/17/2022,,1,$37 ,$37 ,R6-4-1
AB,Electrical,5069-RTB64-SCREW   SER A,,,,10/17/2022,,8,$34 ,$272 ,R7-3-2
AB,Electrical,5069-RTB18-SCREW,,,,10/19/2022,,26,$61 ,"$1,586 ",R4-3-1
AB,Electrical,5069-RTB6-SCREW,,,,10/19/2022,,13,$21 ,$273 ,R4-3-1
AB,Electrical,5069-RTB4-SCREW (Bad Part #),,,,10/19/2022,,2, bad Part? , $-   ,R4-3-1
HOFFMAN,Electrical,UUMF   33800,5000-1558,MOUNTING FOOT KIT,,10/19/2022,,12,, $-   ,R4-2-1
AB,Electrical,700-HA32A1-4   SER D,, ,,10/19/2022,,4,$23 ,$91 ,R4-3-1
AB,Electrical,700-HA32Z24-4   SER D,,,,10/19/2022,,2,$22 ,$43 ,R4-3-1
AB,Electrical,508TX-A  10-30V  0.5A,,,,10/19/2022,,1, bad Part? , $-   ,R3-3-2
AB,Electrical,1606-XLS480F-3   SER A,,,,10/19/2022,,1,$611 ,$611 ,R3-3-2
AB,Electrical,1734-IE8C  SER C,,,,10/19/2022,,1,$980 ,$980 ,R3-5-2
HOFFMAN,Electrical,65750/CMFKSS   ,,SS MOUNTING FOOT KIT,,10/19/2022,,1,, $-   ,R3-4-1
AB,Electrical,5069-OA16,,,,10/19/2022,,1,$679 ,$679 ,R3-5-2
AB,Electrical,1734-TB   SER A,,,,10/19/2022,,1,$24 ,$24 ,R3-5-2
IFM,Electrical,E234978,,ETHR CABLE ( APR 30 FT) ONE END OPEN,,10/19/2022,,1,, $-   ,R7-1-1
AB,Electrical,1585J-M8CBJM-1,,,,10/19/2022,,4,, $-   ,R7-1-1
AB,Electrical,1585J-M8HB-2  SER A,,,,10/19/2022,,1,, $-   ,R7-1-1
rf IDEAS,Electrical,RDR-805W1AKB-P,,,,10/19/2022,,1,, $-   ,R7-1-1
HUBBELL,Electrical,HUBW PR20 20A 120V,,P/N;78358552482,,10/19/2022,,1,, $-   ,R3-3-1
AB,Electrical,100-C09EJ10,,,,10/19/2022,,1,$152 ,$152 ,R4-3-1
AB,Electrical,1492-FBIJ60  60A 600V,,,,10/19/2022,,1, bad Part? , $-   ,R4-3-1
AB,Electrical,1694-PM244-CL2,,,,10/19/2022,,1,$53 ,$53 ,R4-3-1
BURKERT,Electrical,8619 MILTICELL,,MODULAR TRANSMITER,,10/19/2022,,1,, $-   ,R3-3-1
AB,Electrical,5069 AENTR,,,,10/27/2022,,1,$874 ,$874 ,R4-4-2
AB,Electrical,1734-IE8C  SER C,,,46759,11/9/2023,,1,$980 ,$980 ,R3-5-2
ProMinent,Mechanical,7803799,,prominent pump shelves,,11/14/2022,,3,, $-   ,F&B small rack
Anderson,Mechanical,DA2,,Conductivity Analyzer,,11/14/2022,,11,, $-   ,F&B small rack
AB,Electrical,1734-IA4,,,,11/15/2022,,4,$147 ,$588 ,R3-5-2
AB,Electrical,1734-OA4,,,,11/15/2022,,4,$187 ,$748 ,R3-5-2
AB,Electrical,1734-TB3,,,,11/15/2022,,8,32.2,$258 ,R3-5-3
AB,Electrical,1734-TOP  SER A,,,,11/15/2022,,1,18.67,$19 ,R3-3-2
AB ,Electrical,1734-AENTR,,,,11/15/2022,,1,$652 ,$652 ,R2-6-3
HOPE,Electrical,CDVI-06,,ADAP-DPM-DVIIF CDVI-06,,11/15/2022,,1,, $-   ,R7-7-1
R MANNO,Mechanical,1299-38-SS,,3/4 X 1-1/2 X .380 SPACER STANDOFF,46759,12/18/2023,,55,, $-   ,R2-1-2
AB,Electrical,1756-ENBT,,,,11/15/2022,,1, OBSOLETE , $-   ,R3-6-2
AB,Electrical,1769-IF8  SER A,,,46759,12/18/2023,,2,$860 ,"$1,719 ",R7-3-2
HOPE,Electrical,CDVI-06,,,,11/15/2022,,3,, $-   ,R3-4-3
AB,Electrical,1492-SPM1C200,,,,11/15/2022,,1,$30 ,$30 ,R4-3-1
AB,Electrical,1494U-FC30J,,,46759,12/18/2023,,5,$29 ,$146 ,R2-1-2
McMASTER,Mechanical,4596K73,,1/2 NPT MALE,46759,12/18/2023,,8,, $-   ,R3-1-3
AB,Electrical,700-HA32A1-4   SER D,,,,11/15/2022,,1,$23 ,$23 ,R4-3-1
PANDUIT,Electrical,UTP28SP3YL,,"Cat 6 Ethernet Cable, Unshielded, Yellow, 3ft",,11/15/2022,,14,, $-   ,R3-4-3
PANDUIT,Electrical,UPT28SP6YEL,,"Cat 6 Ethernet Cable, Unshielded, Yellow, 6ft",,1/30/2024,,3,, $-   ,R7-1-1
PANDUIT,Electrical,UPT28SP8INYL,,"Cat 6 Ethernet Cable, Unshielded, Yellow, 8in",,11/15/2022,,10,, $-   ,R7-1-1
SMC,Electrical,EX500-AC030-SSPS,,CABLE,,11/15/2022,,2,, $-   ,R7-2-1
IFM,Electrical,EVF044,,,,11/15/2022,,1,$33 ,$33 ,R7-2-1
SMC,Electrical,EX500-AC100-SSPS,,,,11/15/2022,,1,, $-   ,R7-2-1
McMASTER,Mechanical,4881K233,,PIPE FITTING FLANGED,46759,12/18/2023,,1,, $-   ,R2-1-1
TRIPP-LITE,Electrical,P566AB-006,,"HDMI to DVI-D Cable, 6ft",,11/15/2022,,6,, $-   ,R7-3-3
,Electrical,OL9668,,LITKIT DATUN,,11/15/2022,,1, Bad Part? , $-   ,R7-3-3
GRUNDFOS,Electrical,98589048,,3 M CABLE,,11/15/2022,,1,, $-   ,R7-2-2
AB,Electrical,700S-CF440EJC,,,,12/1/2022,,2,$218 ,$436 ,R2-3-3
AB,Electrical,2711P-T10C21D8S,,PANEL VIEW 10.4 IN,,12/1/2022,,1,"$2,874 ","$2,874 ",CR-C4-S3
,Electrical,WD10EFRX,,,,12/1/2022,,1, Bad Part? , $-   ,R2-3-3
McMASTER,Mechanical,4882K18,,PVC PIPE NIPPLE,46759,12/18/2023,,5,, $-   ,R5-3-1
AB,Electrical,800H-JR2A,,,,12/1/2022,,3,$51 ,$154 ,R2-3-3
AB,Electrical,140MT-D9E-C16,,,,12/1/2022,,3,$163 ,$489 ,R2-3-3
AB,Electrical,BUSS RNQ-R-2 ,,CLASS CC TIME DELAY,,12/1/2022,,6, bad Part? , $-   ,R2-3-3
IFM,Electrical,EVT064,,,,12/1/2022,,1,$8 ,$8 ,R2-4-2
,Electrical,APC3100 7300U8 128M W10 2,,PC ,,12/1/2022,,1, Bad Part? , $-   ,CR-C4-S1
AB,Electrical,700S-CF440EJC,,,,12/1/2022,,4,$218 ,$872 ,R2-3-2
IFM,Electrical,E43312,86189125,ADAPTER,,12/1/2022,,1,$85 ,$85 ,R2-3-3
AB,Electrical,1734-IE4C,,,46759,12/18/2023,,8,$525 ,"$4,197 ",R6-5-1
AB,Electrical,855T-BVMC,,,,12/1/2022,,1, Bad Part? , $-   ,R2-2-2
AB,Electrical,855T-B24DN4,,,,12/1/2022,,1, OBSOLETE , $-   ,R2-2-2
AB,Electrical,800H-FRXJTQH2RA5,,,,12/1/2022,,1,$98 ,$98 ,R3-2-2
AB,Electrical,1734-OW2,,,46759,12/18/2023,,1,$114 ,$114 ,R6-5-1
AB,Electrical,194R-PY,,,,12/1/2022,,1,$32 ,$32 ,R3-2-1
AB,Electrical,1492-H5,8310-3012,,,12/1/2022,,25,$16 ,$389 ,R3-2-1
AB,Electrical,1734-OW2,,,46759,12/18/2023,,3,$114 ,$342 ,R6-5-1
AB,Electrical,1489-M1C150,,,,12/1/2022,,3,$42 ,$126 ,R3-2-1
AB,Electrical,1494U-NO,,,,12/1/2022,,1,33.48,$33 ,R3-2-1
AB,Electrical,1494U,,HANDLE HARDWARE KIT (PN 266083),,12/1/2022,,1, OBSOLETE , $-   ,R3-2-1
AB,Electrical,800H-FRXTQH2RA1,8390-1008,,,1/30/2024,,4,$143 ,$573 ,R4-4-1
AB,Electrical,1494u-J100-CR-PC-S,,,,12/14/2022,,1,$924 ,$924 ,CR-C5-S4
Emerson,Electrical,E250,,POWER SUPPLY,,12/14/2022,,1, bad Part? , $-   ,CR-C5-S4
AB,Electrical,1497-6-BASV-3-N,,CONTROL CIRCUIT TRANSFORNER,,12/14/2022,,1, bad Part? , $-   ,CR-C5-S4
AB,Electrical,1492-ACABLE010Y,,,,12/14/2022,,1,$148 ,$148 ,CR-C5-S4
AB,Electrical,1492-ACABLE010X,,,,12/14/2022,,1,$148 ,$148 ,CR-C5-S4
AB,Electrical,1492-ACABLE010TB,,,,12/14/2022,,1,$210 ,$210 ,CR-C5-S4
Emerson,Electrical,SDN40-24-480C,,POWER SUPPLY,,12/14/2022,,1,"$1,114 ","$1,114 ",CR-C5-S5
Emerson,Electrical,SDN2024480CD,,POWER SUPPLY,,12/14/2022,,2,$725 ,"$1,449 ",CR-C5-S5
AB,Electrical,1492-SPM1C040,,,,12/14/2022,,5,$31 ,$155 ,R6-3-1
AB,Electrical,1489-M1C016,,,,12/14/2022,,1,$42 ,$42 ,R6-3-1
AB,Electrical,1489-M1C350,,,,12/14/2022,,1,$42 ,$42 ,R6-3-1
AB,Electrical,1585J-M8HB-2,,,46759,12/18/2023,,1,$22 ,$22 ,R2-4-2
AB,Electrical,140M-F8E-C32,,,46759,12/18/2023,,2, Bad Part? , $-   ,R7-6-3
AB,Electrical,440R-F23199,,,,12/14/2022,,4, Bad Part? , $-   ,R6-3-1
AB,Electrical,1492-AIFM6S-3,,,,12/14/2022,,2,$157 ,$315 ,R6-3-2
AB,Electrical,1734-FPD,,,46759,12/18/2023,,2,$116 ,$232 ,R7-4-2
AB,Electrical,1734-EP24DC,,,,12/14/2022,,1,$204 ,$204 ,R6-3-2
BIMBA,Mechanical,PIV-60-050/075,,PNEUMATIC ISOLATION VALVE,,12/14/2022,,1,, $-   ,R6-3-3
AB,Electrical,700S-CF440EJC,,SAFETY CONTROL RELAY,,12/19/2022,,1,$218 ,$218 ,R6-4-3
AB,Electrical,1756-IB16,,,,12/19/2022,,4,$423 ,"$1,692 ",R6-2-1
AB,Electrical,1756EN2T,,,,12/19/2022,,2,"$2,909 ","$5,818 ",R6-2-1
AB,Electrical,1769-PB4,,,,12/19/2022,,1,$492 ,$492 ,R6-2-2
Emerson,Electrical,SDN2024480CD,,POWER SUPPLY,,12/19/2022,,1,$725 ,$725 ,R6-2-2
AB,Electrical,1494U-F60,,,,12/19/2022,,1,$30 ,$30 ,R6-2-2
IFM,Electrical,TD2937,,,,12/19/2022,,1,$242 ,$242 ,R6-2-2
AB,Electrical,1494U-R1,,,,12/19/2022,,1,$29 ,$29 ,R6-2-3
IFM,Electrical,E40228,,,,12/21/2022,,1,$92 ,$92 ,R3-5-1
AB,Electrical,1494F-S1,,STAINLESS DISCONNECT HANDLE (SMALL),,12/21/2022,,1,$286 ,$286 ,R6-3-3
AB,Electrical,SN4000,,,,12/21/2022,,1, Bad Part? , $-   ,R6-3-3
AB,Electrical,25B-D010N114,,,,1/5/2023,,1,"$1,380 ","$1,380 ",R7-1-2
WOLSELEY,Mechanical,DS44NJS,,"1-1/2""X5 S40 304L WLD NIP TBE",46759,12/18/2023,,1,, $-   ,R5-5-2
AB,Electrical,1492-FB2J30-L,,FUSE HOLDER,,3/13/2023,,2,$47 ,$93 ,R2-5-2
HOFFMAN,Electrical,UU606030,5000-1557,"24""x24""x12"" FG ENCLOSURE 4321 VFD CUT ",,3/14/2023,,3,$638 ,"$1,915 ",F&B SHOP
AB,Electrical,1694-PF1244,,,,3/21/2023,,1,$18 ,$18 ,R1-1-2
AB,Electrical,1734-TB3,,,,4/24/2023,,1,32.2,$32 ,R3-1-3
SCHNEIDER,Electrical,BS811QS,,2 1/2 ADAPTER/TRI CLAMP,,4/24/2023,,3,, $-   ,R3-1-1
IFM,Electrical,E40200,,,,4/24/2023,,3,$38 ,$113 ,R2-2-1
IFM,Electrical,US0043,,,,4/24/2023,,1,$172 ,$172 ,R2-4-3
SWAGELOK,Mechanical,S04465179B,,MALE ADAPTER 1/2 TUBE X 3/8 MALE PIPE,,4/24/2023,,10,, $-   ,R2-3-1
AB,Electrical,855T-ABCAP,,,,4/24/2023,,1,$6 ,$6 ,R2-3-1
AB,Electrical,1942-SPM1C040,,,,4/24/2023,,1, bad Part? , $-   ,R3-5-3
AB,Electrical,1489-M1C010,,,,4/24/2023,,1,$42 ,$42 ,R3-5-3
EATON,Electrical,CC600V 30A,,FUSE HOLDER,,4/24/2023,,1, bad Part? , $-   ,R3-5-3
,,,,,,,,,,,
AB,Electrical,1734-OE4C   SER C,,,,4/24/2023,,1,$595 ,$595 ,R2-5-2
AB,Electrical,1734-IE8C  SER C,,,,4/24/2023,,1,$980 ,$980 ,R2-5-2
AB,Electrical,700-HLT12,,,,4/24/2023,,2, Bad Part? , $-   ,R2-5-2
EATON,Electrical,MDL-2-R,,FUSES,,4/24/2023,,10,$2 ,$16 ,R2-5-2
HTM,Electrical,Z-FS3KAV085,,CABLES,,4/24/2023,,3,, $-   ,R5-4-1
HTM,Electrical,R-FS5TZV075,,CABLES,,4/24/2023,,3,, $-   ,R5-4-1
,Mechanical,213918,,21MP-2 1/2 X 2 1/2-316L-7 ADAPTER,,4/24/2023,,2, Bad Part? , $-   ,R5-4-1
AB,Electrical,1494U-LA36,,,,4/24/2023,,1,3.34,$3 ,R5-4-1
,Mechanical,240982,,L32-3X2-316L-7 TUBE ADAPTER,,4/24/2023,,1, Bad Part? , $-   ,R5-4-1
AB,Electrical,1494U-PB31,,,,4/24/2023,,2,$8 ,$17 ,R5-4-2
SMC,Electrical,KQG2E11-N03,,,,4/24/2023,,7,, $-   ,R5-4-2
,Electrical,10250TC1N,,RED LENS,,4/24/2023,,3, Bad Part? , $-   ,R5-4-2
AB,Electrical,1734-IE2C,,,,4/24/2023,,2,$328 ,$655 ,R2-5-2
BUSSMANN,Electrical,PDBFS220,,"175A-600V,  IEC-60647-7-1",,12/18/2023,,2,$48 ,$97 ,R7-5-3
AB,Electrical,800H-QRH2R,,,,4/24/2023,,1,$85 ,$85 ,R2-5-2
AB,Electrical,1492-SPM1C040,,,,4/24/2023,,4,$31 ,$124 ,R2-5-2
AB,Electrical,140MT-D9V-C40,,,,4/24/2023,,2,$248 ,$496 ,R2-5-2
AB,Electrical,1489-M1C150,,,,4/24/2023,,1,$42 ,$42 ,R2-5-2
AB,Electrical,1489-M3C010,,,,4/24/2023,,1,$42 ,$42 ,R5-5-2
AB,Electrical,800H-FRXJTQH2RA5,,,,4/24/2023,,1,$98 ,$98 ,R5-5-2
AB,Electrical,1606-XLE240E,,POWER SUPPLY,,4/24/2023,,1,204.3,$204 ,R5-5-2
AB,Electrical,1734-OW2,,,,4/24/2023,,2,$113 ,$226 ,R2-5-2
